category,task,confidence,original_review
netcode/desync,Optimize server synchronization,0.8,"Game doesn't even launch. I get a different boot error every time. I can't even get past the first pop up. My system easily should be able to play it(5800X3D and RX 7900XT), I've reinstalled the game 4 times, restarted my pc, validated the files multiple times, and all the drivers are up to date. Nothing online can explain why its happening."
pve/mission loop,Add PVE only mode,1.0,"The game severely needs a PVE only mode, dealing with these maggot infested disgusting filth sweats ruins the potential of this game."
performance/fps,optimize Steam client functionality,0.8,"game is straight fire, but im leaving this review mainly bc steam wouldn't let me click maybe later"
weapon/ai balance,rebalance weapon damage curves,0.8,its alright
netcode/desync,optimize server synchronization,0.9,"I am addicted. Only down side are the servers. Some are not that bad while others, god bless. INVEST IN PROPER SERVERS"
netcode/desync,optimize server synchronization,0.9,"The game forces you to go into one last extract towards the ends of rounds and there is usually a full team crouched, corner peaking the entrances. LAME. Running into players at extracts is one thing but the game design actively enforcing such an annoying exploit is sad."
netcode/desync,Optimize server synchronization,0.95,Freezing my entire pc on amd after 30 minutes. Absoloutely incredible something like this is not fixed on launch or by a week after.
netcode/desync,optimize server synchronization,0.9,"Repeat crashing
cannot recommend until fixed
I personally found increasing page files has improved FPS and may have stopped crashing but there is still an underlying issue for most players."
weapon/ai balance,Improve AI behavior of bots to prevent them from cheating or exploiting loot mechanics,0.95,grab loot die by bot
netcode/desync,optimize server synchronization,0.95,"Currently this game is a 8/10. If they can fix the desync issues its an easy 10/10, amazing gunplay, pvp and pacing, Although the ARC could be a bit harder to deal with"
netcode/desync,Optimize server synchronization to prevent unintended shooting,0.8,"Very fun game. PvP is pretty straight forward, someone yells 'don't shoot' and I blow a third of the nerves out their head"
pve/mission loop,Add PvE mode,1.0,Needs PvE mode
netcode/desync,optimize server synchronization,0.95,Would definitely NOT spend your money on this game no matter how many streamers play it. Has constant issues myself and 2 friends have had to uninstall it to correct it. Constant disconnecting from servers. Dying with loot as a result. What an absolute waste of time. Fun game to many issues not worth it AVOID.
weapon/ai balance,rebalance weapon damage curves,0.95,"I love this game! The graphics are amazing and the gameplay is so fun. However, I do have a few issues with some of the weapons. They feel too powerful and unbalanced."
netcode/desync,Optimize server synchronization,0.9,Best game I've played all year! They just need more servers. I was in a queue for 30 min before i could play. Still won't stop me from playing more.
social experience,Implement social features to allow players to connect and form friendships within the game.,1.0,no new friends.
pve/mission loop,Add separate PVE game mode,1.0,Please add mode that will allow players like me to play PVE only so that it wouldn't affect people that want PvP but also allow those who love the Arc raiders PvE side to fully enjoy it
pve/mission loop,Add PvE mode,1.0,"Elder Millennials:
You won't like this game. The first time you get shot while extracting, you'll remember that you're too old for this shit. Let the kids have their PvPvE extraction shooters and go play a game that is guaranteed to respect your time regardless of if a kid shoots you in the face or not.

No hate on the game, its players, or anything else - this is for all the old folks like me griping for a PvE mode."
netcode/desync,"Optimize server synchronization, rebalance weapon damage curves, improve crafting sustainability, fix hitbox issues, and switch to a first-person perspective.",0.95,"The game has a lot of potential, but right now it’s buried under endless problems: constant PvP, poor balance, unsustainable crafting, a painful storage system, broken hitboxes, and a terrible third-person perspective that only makes camping and PvP worse. In its current state, it feels more like a frustration simulator than an enjoyable experience."
netcode/desync,optimize server synchronization,1.0,It's just a good game but needs to fix the De-Sync issue.
other,Improve gameplay mechanics,0.8,shit slaps
netcode/desync,"rebalance weapon damage curves, optimize server synchronization",0.8,The players have too much health and the guns suck fucking ass.
netcode/desync,optimize server synchronization,0.9,"another dev team
another set of lies such as ""we don't have matchmaking""
take an expensive loadout
get shot by expensive guns within 5 minutes
take a shit loadout
every single person yells ""don't shoot""
wonder what that means"
netcode/desync,optimize server synchronization,0.9,"- load in to the game
- hop in a match
- play for 10 minutes
- game crashes
- reconnect to the match
- game crashes"
netcode/desync,optimize server synchronization,0.9,Getting put in farthest away from any exit + mid raid does not give much time to get anything done... This happens frequently enough it can ruin the experience.
netcode/desync,Optimize server synchronization to prevent crashes and improve player experience.,0.8,"Game is crashing, making you to play again, loosing all your loot most of times and you are alone."
netcode/desync,optimize server synchronization,0.9,"Fun and addicting. Seemingly some server lag issues occasionally, but I'm sure that'll iron itself out over time...could also just be me."
other,Add more activities to keep players engaged,0.8,"I'm giving my unpopular opinion about this game: It's not worth all the hype. The game is incomplete and lacks content. The graphics are subpar, and the gameplay is repetitive. I think the developers should focus on adding more activities to keep players engaged."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,this game have a lot of problems fix it
other,Improve gameplay diversity,0.8,"Mid disguised as Peak. Presentation is amazing but the gameplay is the same extraction shooter loop you've seen before. The Arc PvE is nowhere near as much of a game changer as it makes itself out to be. The raider PvP doesn't really know what it wants to be. It heavily favors the defender due to the 3rd person view. The weapon variety is pretty minimal as the weapons are either underpowered, or are the same assault rifle / lmg / shotgun / sniper combo you've been playing with since the stone ages."
pvp experience,Improve game pacing and address player toxicity,0.8,Pretty tedious and other players suck
netcode/desync,Optimize server synchronization to reduce lag and improve fairness in PvP matches,0.8,"I usually hate PvP, but it's not a constant thing in the lobbies I've played, and it keeps things exciting.. you never know."
pve/mission loop,Improve item quality and variety,0.8,"yeah, all youre getting is a ****ing freek kit buddy"
other,Improve single player experience,0.8,"This is one more of those games that were made to play with your friends and with your friends only, the single player experience is just not fun."
netcode/desync,optimize server synchronization,1.0,Wanted to like this game but it's just been ruined by players who are really toxic and just moving here from other PvP games to get in on the killing. Uninstalled.
netcode/desync,optimize server synchronization,0.9,"I think this may be the best video I have ever played. I am not usually one to play with proximity chat on, but with this game, it's a must."
weapon/ai balance,rebalance weapon damage curves,0.8,I think this is for first time loot extractor players. I've played many and just don't like a lot of concepts and choices in this game. Just doesn't feel good compared to others like arena breakout or tarkov.
netcode/desync,optimize server synchronization,0.9,"I love this game! The graphics are amazing and the gameplay is so fun. However, I noticed some lag sometimes which can be frustrating."
netcode/desync,"Optimize server synchronization, improve spawn system",0.95,Great game when they don't spawn you in over 10 min late to the match and next to shit that will squad wipe you at spawn
pve/mission loop,Add PVE mode,1.0,no PVE.... Please add PVE Mode support!
netcode/desync,Optimize server synchronization and rebalance weapon damage curves to make the game more casual player friendly.,0.8,Not recommended for casual gamers. Mandatory PvP inhibits mid and high tier play for casual players.
netcode/desync,optimize server synchronization and rebalance weapon damage curves,0.9,"this game is such a waste of time bro... i have played for 9 hours, never found any good loot, only basic weapons, im getting killed by the smallest drones. i played around 20 games and i only finished 4. I tried checking stuff on yt with looting spots but when i get there its already looted. even if i get spawned 100m from it. Everyone else already has great stuff so trying to unalive others is out of the question. I only attacked 1 raider, and i got killed also only once."
weapon/ai balance,Add option to craft higher level guns quickly using a slider.,1.0,Devs pls add option to craft higher lvl Guns right away with a slider mb
netcode/desync,optimize server synchronization,0.9,Connection to game server lost. Connection to game server lost. Connection to game server lost. Connection to game server lost. Connection to game server lost. I have a good pc and internet Fun game but they wont fix it
netcode/desync,Optimize server synchronization to prevent lag and improve player experience,0.8,I should not write something when i am angry but I just have to say it now. I am a solo player but  technical state of this game is so frustrating and some players make it even worse.
netcode/desync,optimize server synchronization and rebalance weapon damage curves,0.8,"Fantastic game. First extraction shooter for me. Love the proximity chat. Beautiful aesthetics. Super threatening ai makes it feel like the world really is taken over by robots and you truly are some apocalyptic raider, along with never knowing what a reap player might do."
netcode/desync,optimize server synchronization,0.9,"I bought this game yestery, played about 3 hours but refunded it in the end. Its not as fun as the hype behind it is. I ecnountered some bugs that made me alt f4 to be able to play. Its a type of game that will get repetitive and boring after a few hours, i do not recommend this game considering its price and what it offers"
netcode/desync,optimize server synchronization,0.9,My friends and I all are pretty much done with it. The game is fun and there are great players but you end up encountering many more immature players - who basically kill lower levels for the pleasure? and not for the crappy loot they get off those kills.
netcode/desync,Optimize server synchronization for anti-cheat system on Shadow platform,0.9,"I really want to play this game, but I can't play the game on Shadow because of the anti-cheat, game won't start."
netcode/desync,optimize server synchronization,0.95,"Arc Raiders is a game I’ve been looking forward for since The Finals, and now that it's finally here, I'm loving it. The retro sci-fi vibe really hits the spot it's like a cool mix of nostalgia and fresh design. The music is super catchy, and honestly, I never even think about turning it down, even after hours of playing. The PvP is amazing, If you’ve played The Last of Us, you’ll know what I mean when I say the combat is all about using your environment. Chasing someone across rooftops, dodging arcs, and trying to outsmart them is just so much fun. The PvE can be hit or miss; it has its frustrating moments, but those challenges make you want to keep going. As for the cosmetics, they're pretty basic; I’m good with what we have. But there are a few things that could use some work."
netcode/desync,Optimize server synchronization,0.95,Can't get the game to load
weapon/ai balance,Improve game balance and adjust weapon damage curves,0.9,Hey Dont Shoot
netcode/desync,optimize server synchronization,1.0,"It is still a PUBG pretty much, too much PvP to my current taste."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves, improve inventory management, add option to control radio banter and ambience noise in main menu, disable tinnitus sounds",0.95,"The game IS fun, especially with 2 friends. There are some very epic moments both in PVP and PVE or both of them at the same time. However it still has major flaws that need to be fixed asap:"
pve/mission loop,Add a first-person mode with increased rewards,1.0,"Only complaint is that it is 3rd person only. If a 1st person mode was made (with increased rewards or some such), the game would be perfect."
netcode/desync,optimize server synchronization,0.95,"this is actually one of my all time favorite looter extraction games, however the game is riddled with server and connection issues, arex 0003 so while it is good fun i cant load into a game so it defeats the point."
weapon/ai balance,rebalance weapon damage curves,0.9,"Leaving a negative review until a duo queue is made. I have a single friend that plays the game, and as a duo fighting against trio without any kind of balancing is hell."
netcode/desync,optimize server synchronization,0.8,"Its wierd and ard, you die for no apparent reason 70% of the time"
netcode/desync,optimize server synchronization,0.8,"some fixes need to happen, but the game itself is pretty good."
weapon/ai balance,rebalance weapon damage curves,1.0,"If you have a job and you're near your 30's, you really don't want to gather with your friends just to play a game where after 20 minutes of killing arcs you get shot down by campers and lose everything."
netcode/desync,optimize server synchronization,0.9,"Its a lot of fun, no problems so far. And I am glad, theres mostly friendly Raiders. Remember, the Arc is the enemy."
netcode/desync,optimize server synchronization,0.9,"When I try to launch it, it shows the window and then it just closes itself..."
netcode/desync,optimize server synchronization and rebalance weapon damage curves,0.9,"I really wanted to like ARC Raiders, but the solo gameplay loop is just painful. There are basically three possible outcomes every run:"
netcode/desync,Optimize server synchronization,1.0,"Absolutely love this game, but its currently unplayable due to losing connection and getting stuck in the reconnect cycle every game."
netcode/desync,optimize server synchronization,0.95,crash raiders
netcode/desync,optimize server synchronization,1.0,the game keeps crashing
pvp experience,Improve enemy variety and add strategic depth to PvP,0.8,"Not to be a hater, but I honestly find this game underwhelming. As an ex-Tarkov player, I was excited for a new extraction shooter combining PvE and PvP, it sounded like a fresh twist on a genre I love."
netcode/desync,Optimize server synchronization to reduce lag and improve overall performance.,0.8,Just kind of meh after a couple of hours after the new release honeymoon phase wears off. Unless you're really into pvp or griefing it quickly becomes repetitive.
netcode/desync,Optimize server synchronization,0.8,"10 out of 10 for the game , had fun in the first couple of days when lets say out of 15 people just one will try to shoot you, now i dont know what happened but out of 15 players, 14 will shoot on sight you, most of them ambushing you then telling you are garbage at pvp."
netcode/desync,Optimize server synchronization to reduce lag and improve overall performance.,0.8,"Arc has a lot of promise - it looks great, the rounds are punchy 30 mins or less, you can go in solo or in a group and you can never be certain how things will go down, which is a nice / rare feeling in gaming actually."
netcode/desync,optimize server synchronization,0.8,"Бежал на выход в ночном рейде, меня заметил паук, у меня кончились партоны на отсреле дронов. Упал от паука. Дополз до выхода где меня ждали два парня и кричали на меня чтоб я полз быстрее потому что до конца матча оставалось 10 секунд. Прямо на входе в лифт на меня прыгнул паук и добил."
pve/mission loop,Add a new PvE game mode with unique challenges and rewards,1.0,Requires a separate PvE mode
netcode/desync,optimize server synchronization,0.95,SHiSHIT game waste of money greedy nasty mf didnt even let you play the game in the playtest and now i can pay to get disconnected every 30 seconds
netcode/desync,Optimize server synchronization,0.8,"Big up for the studio! Great graphics, great optimization, gameplay."
pve/mission loop,Add PvE-only mode for better loot acquisition,0.95,They Need to add a PvE only mode so you can actually gain and keep good loot. then test your metal/loadout against other player in a pvp/pve server like they have now. Other than that great extraction game.
pve/mission loop,Add new gameplay mechanics to increase variety,0.8,BE A RAT
netcode/desync,Optimize server synchronization for better controller compatibility on PS4,0.8,cannot play this sh*t
ui/ux/controls,Improve player control and aiming accuracy,0.8,DONT SHOOT
netcode/desync,"optimize server synchronization, implement duo queue mode",0.9,Bad desync and no duo queue.
other,Implement defibrillators in the game for players to use on downed enemies.,1.0,"Saw some random dude crawling out in the open. No clue who he was enemy, ally, tax evader  didn’t matter. I ran over to help while he kept spamming the ‘thank you’ emote like his life depended on it."
netcode/desync,optimize server synchronization,1.0,"After 30hrs with no crashes, the game is constantly crashing when loading a new match."
performance/fps,"Improve PvP balance to reduce frequency and severity of loot loss, increase drop rates for rare items, or implement a system that allows players to purchase gear with in-game currency.",0.8,"You will never use your gear you spend days getting, you will just lose it when someone ganks you while you're looting a container. It's every 10 runs I acutely extract so the 30 mins a run that 4 and half hour a day that I play this game that I can't afford to buy new gear because of how much time it takes me to get any good stuff."
other,Add warning message about sleep disruption,1.0,Needs a warning notice 'This game will alter your sleep schedule'
netcode/desync,optimize server synchronization,0.9,"I love this game! The graphics are amazing and the gameplay is so fun. However, I've been experiencing some lag lately which makes it hard to play."
netcode/desync,Optimize server synchronization,0.95,can we fix the msi laptop steelseries keyboard bug?????
weapon/ai balance,Improve AI behavior,0.8,Has GenAI. Fuck ai.
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.95,"I like it. Has some issue's with desync and weapon balance at the moment. But if embark listens to players and adds stuff to it, it will become the best extraction shooter on the market."
netcode/desync,optimize server synchronization,0.9,Game crashes constantly and is unplayable. Developers DO NOT CARE and offer NO HELP OR FIXES. Never had such a negative experience regarding a game's stability.
netcode/desync,Optimize server synchronization and rebalance weapon damage curves,0.95,could be good but on pc lots of crashes making game play tedious. Patches needed!
netcode/desync,Optimize server synchronization to prevent desync issues,0.8,"You know how you said 'just one more raid' 6 hours ago? Maybe that beeping you're hearing in the other room ISN'T the microwave, it's the IRL hatch opening... The chicken is the one who's actually in control, and you think he's your pet. Give me more Queen Mommy Crabs plz"
other,Improve character customization options,1.0,Huge shoutout to ARC Raiders for having THE WORST CHARACTER CUSTOMIZATION IN GAMING HISTORY!!
netcode/desync,optimize server synchronization,1.0,"Great optimize game, you can see how much love and care that dev give to this game"
netcode/desync,Optimize server synchronization to prevent frequent crashes,1.0,GAME JUST CRASHES
netcode/desync,Optimize server synchronization to prevent enemy players from spawning on top of friendly players,0.95,this shit so garbage i dont understand how i can spawn in and multiple mf  can just spawn on top of me not be on the same team  and still target me insane
netcode/desync,Optimize server synchronization or rebalance weapon damage curves,0.8,I played 6 missions and got killed by other players camping the elevator exit 4 times. It is one thing running into them out in the field but is is frustrating for lazy players to wait at the exit point to kill incoming players. Until that changes I am done playing this game.
other,Improve login process for players with disabilities,0.8,get it
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,Had the potential to be amazing but is a buggy mess and has very un-enjoyable combat mechanics.
weapon/ai balance,Improve enemy AI to reduce cooperation with players during PvP matches.,0.8,"Интересная игра, особенно в пати. Проблемы тут как и у любого другого extraction shooter'а, ну и еще будто бы туда кооперируются чаще чем в том же Тапкове но это будто бы временно и грядёт Villain арка почти у каждого, ведь уже есть те кто при попытке тебя убить проигрывают и пытаются в дипломатию, что я советую пресекать."
social experience,Improve friendliness of other players or reduce the number of fights in solo mode,0.8,basically unplayable solo for an average player if u dont wanna fight 6+ people every fight and be backstabbed by people who say they are friendly...
other,Resolve internal conflicts within the community,0.8,"Its kinda mid, i dont really get the hype, the game is fine but there is a internal war with the community that kinda blows."
netcode/desync,optimize server synchronization,0.8,There’s a broken mission I escape with the stuff from the junk yard and the mission never completes
netcode/desync,optimize server synchronization,0.8,Game slaps pvp pve it does not matter its all fun :)
netcode/desync,Optimize server synchronization for better network performance in PvP mode,0.8,"This game is totaly good and got potiental going far far away to the moonn...the only my team doesnt like it is @Hichigo because it got pvp mode...perhaps can do also pve mode for ""Lemah player"" thanks"
other,Improve player survival rate,0.8,everybody kills you no mater what
netcode/desync,optimize server synchronization,1.0,"I'd give it a positive review, but because of the desync, I'll give it a negative until it's fixed or massively reduced."
netcode/desync,optimize server synchronization,0.95,Amazing game held back currently by it's amazingly bad desync issues. As soon as these are resolved it'll arguably be the best MP shooter in the last decade
netcode/desync,optimize server synchronization,1.0,desync issues just like the finals. unfortunate.
netcode/desync,optimize server synchronization,0.9,"It's good, but ive been dealing with disconneting and game crashing bugs which is very annoying. Gameplay wise it is very fun and would recommend."
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"Rage quitting bait of a game with some very unbalanced mechanics, will change review if devs update for solo playability. For now its a negative."
netcode/desync,optimize server synchronization,0.9,"I love this game! The graphics are amazing and the gameplay is so fun. However, I noticed some lag sometimes which can be frustrating."
netcode/desync,optimize server synchronization,0.9,Shit crashes so often and right as Im bouta extract as least a dozen times now. 3080ti i7 9700k 64 gigs ram have no issues with other games. shits ridiculous
netcode/desync,"optimize server synchronization, rebalance weapon damage curves",0.8,"I’ve spent a good chunk of time scavenging the ruined surface of Earth in Arc Raiders, and what really stands out is how alive the game feels. It’s an extraction shooter, sure, but it’s not just about looting and escaping. Every run feels like its own story. Sometimes you’re sneaking through foggy ruins, dodging robotic patrols, and sometimes you’re fighting off waves of enemies in intense battles."
social experience,Improve communication features in game to prevent misunderstandings and increase trust between players.,0.95,Cant communicate with teammates. BS
